               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,             0.11241,             0.16892,           0.0061768,             0.68058,             0.56745,             0.58554,             0.18619,            0.096304,             0.12283,           0.0052587,             0.00895,             0.00895,             0.00895
                  37,             0.11234,             0.16701,           0.0062393,             0.70984,             0.57544,             0.59661,             0.19446,            0.096021,             0.12282,           0.0052136,             0.00892,             0.00892,             0.00892
                  38,             0.11215,             0.16591,            0.006211,             0.70324,             0.57204,             0.59245,             0.19058,            0.096125,             0.12226,           0.0052771,             0.00889,             0.00889,             0.00889
                  39,             0.11095,             0.17077,            0.006207,             0.70042,             0.57903,             0.59641,              0.1933,            0.096044,             0.12294,           0.0051931,             0.00886,             0.00886,             0.00886
                  40,             0.11044,             0.16727,           0.0059133,             0.71764,             0.57654,             0.60516,             0.20049,            0.095757,             0.12279,           0.0050865,             0.00883,             0.00883,             0.00883
                  41,                0.11,             0.16013,           0.0060155,               0.703,             0.57766,             0.59862,             0.19557,            0.096009,             0.12233,            0.005074,              0.0088,              0.0088,              0.0088
                  42,             0.11139,             0.16421,           0.0061133,              0.7214,             0.58467,             0.60383,              0.1965,            0.095868,             0.12244,           0.0050754,             0.00877,             0.00877,             0.00877
                  43,             0.11043,             0.15612,           0.0057901,             0.73692,             0.58292,             0.60943,              0.1974,            0.095745,             0.12282,           0.0050921,             0.00874,             0.00874,             0.00874
                  44,             0.11018,             0.16522,           0.0058242,             0.73462,             0.59786,             0.62186,             0.20058,            0.095658,             0.12295,           0.0050039,             0.00871,             0.00871,             0.00871
                  45,             0.11093,             0.16742,           0.0059578,              0.6978,             0.58123,             0.59915,             0.19972,            0.096165,             0.12212,            0.004993,             0.00868,             0.00868,             0.00868
                  46,             0.11021,             0.15856,           0.0057947,             0.72369,             0.58669,             0.61225,             0.20012,             0.09571,             0.12314,            0.005015,             0.00865,             0.00865,             0.00865
                  47,             0.11129,             0.16605,           0.0057295,             0.71094,             0.58406,             0.59563,             0.19462,            0.096088,             0.12227,           0.0049966,             0.00862,             0.00862,             0.00862
                  48,             0.11195,             0.16756,           0.0055013,             0.71227,             0.58211,             0.59989,             0.19421,            0.096299,             0.12285,           0.0050039,             0.00859,             0.00859,             0.00859
                  49,             0.11157,             0.16554,           0.0058488,             0.73339,             0.59589,             0.61663,             0.20066,            0.095838,             0.12346,           0.0050518,             0.00856,             0.00856,             0.00856
                  50,             0.11093,             0.16816,           0.0057667,             0.72764,             0.58427,             0.60871,              0.2022,            0.095713,             0.12299,           0.0050005,             0.00853,             0.00853,             0.00853
